Gene,logFC,p
Sirt7,-0.347645554,0.010592115
Dlc1,-1.212408293,0.010605369
Acer3,1.320192067,0.010620178
Hnrnpc,0.689957099,0.010642205
Stard3,0.605421196,0.01065833
Vrk3,-2.253331408,0.010769798
Zfp446,-1.045210973,0.01078731
Mrpl16,-0.863846143,0.01079159
Cald1,-1.350908604,0.010821947
Nop56,1.135217856,0.010890636
Wif1,-0.584962501,0.010943588
Qrich1,2.14266712,0.010952515
Stk19,-1.285886112,0.010962171
Stat5a,0.949764104,0.01100805
Qser1,-0.53732243,0.011042014
Aldh18a1,2.267752955,0.011063575
4632418H02Rik,-2.942620753,0.011098335
Rhbdd3,0,0.011201433
Nckipsd,0.826675327,0.011221862
Tcf7l2,-0.547670635,0.011250463
Ano8,1.046874023,0.011337039
Siae,2.112788838,0.011337416
Cln6,1.41840881,0.01139559
Srm,-0.812896923,0.011429613
Atp5mpl,-1.043564032,0.011433552
Lekr1,-1.598083642,0.011469812
Ttpal,0.955512599,0.011492506
Kif1c,-0.469017667,0.011548167
Fnbp1,2.366587014,0.0115805
Ceacam1,2.008621926,0.011620145
Alg1,0.812612822,0.011639671
2310001H17Rik,-0.886678263,0.011648133
Ppie,0.483753231,0.011664589
Ripk2,-0.957294841,0.011767572
Cryzl1,-0.849583157,0.011811373
Hras,-1.581082386,0.011861165
Rchy1,0.226976452,0.011920323
Zdhhc6,1.109788224,0.011937778
Psmc6,0.490588532,0.011970288
Gm14387,1.033549615,0.01199825
Scfd2,0.049110504,0.012030851
Derl1,-0.576696498,0.012041935
Nr2c2,1.480572563,0.012118829
Zswim8,-2.006165373,0.012201767
Btla,-0.844154023,0.012226374
Acta1,-0.906890596,0.012240806
Nbdy,1.106416334,0.012258151
Odf3b,-0.934283062,0.012261506
Ppl,-0.777186169,0.012277586
Coro7,1.174432523,0.012349314
Xpo7,0.860074774,0.012356857
Phf24,-3.08181841,0.012370389
Fam126b,-2.554688946,0.012382177
Gm50209,-0.557192476,0.012390057
Adck5,0.934653375,0.01245806
Tnf,-0.867606868,0.012490345
Ehbp1l1,-0.94753258,0.012525678
4930579G24Rik,-0.384051112,0.012584396
Ube2d3,0.617827135,0.012609057
Wdhd1,-1.544924454,0.012609101
Hmgcl,0.170823117,0.012653541
Tardbp,-0.494630181,0.01266255
Erh,1.905339992,0.012671076
Zfp61,1.676999287,0.012682258
Nrxn2,-2.089731525,0.01272586
Dld,-1.950133932,0.012825999
Cuta,0.496979113,0.012856465
Ech1,0.326710285,0.012866275
Pml,-1,0.012894593
Git2,-2.003709108,0.012941613
Obsl1,-1.00495101,0.012955472
Lgals8,1.46101195,0.012999623
Axl,-0.52486204,0.013024868
Ermard,1.108637323,0.013068211
Rnf13,0.753075467,0.013089525
Dalrd3,1.452600652,0.013090214
Vps4b,-0.873456305,0.013092688
Stk11ip,-1.220923594,0.013093075
Rbm7,1.726865481,0.013132918
Tyk2,-1.536390086,0.013158793
Tti1,-0.577025789,0.013159546
Ms4a6d,-2.486662614,0.01316124
Krt80,0.785890801,0.013169429
Vwf,-0.612897007,0.013190988
Sympk,1.461079389,0.013205197
Gsk3b,1.196327262,0.013211157
Sdccag8,1.588654993,0.013232846
Slc38a10,-0.665873234,0.013350992
Oxnad1,0.523659152,0.013395835
Fmo5,0.697211443,0.013450649
Lpl,0.813885402,0.013468156
Gm16229,1.469558722,0.013496563
Washc2,-1.548529672,0.013546297
Setd4,-2.287752947,0.013600301
Tcim,-0.698113605,0.013635906
Cdk16,-2.224840569,0.013686738
Doc2g,-0.829755191,0.013712178
Erp29,-2.018738387,0.013714858
Ptbp3,-0.852544688,0.013725374
Eci1,3.503364609,0.013799804
Hpn,-0.934216581,0.013876629
Ldb1,-0.812151058,0.013920282
Nav2,0.707343078,0.013988418
Rpl11,1.909191807,0.014018387
Fam45a,0.974715412,0.014036084
Rccd1,-2.254417516,0.014071903
Khdrbs3,-0.839918812,0.014105194
Prkrip1,0.961981337,0.014106543
Dennd4a,0.919953207,0.014108425
Prr22,0.748893515,0.014129414
3110009E18Rik,-0.683683671,0.014134804
Mrpl48,0.519348528,0.014165818
Katnb1,-2.669492323,0.014195854
Brcc3,-1.618029626,0.014242524
Evi5l,-0.950544876,0.01430146
Stk25,0.09385304,0.014333293
Six1,-1.35982189,0.014336251
Metap2,2.015106892,0.014349588
Gm10635,1.45266004,0.014418145
Prrc2b,1.906890596,0.014423778
Bmp1,-2.007250307,0.014430647
Phf3,1.720726562,0.014471365
Fam57a,0.479476335,0.014476277
Sipa1,0.364424985,0.014507654
Immt,4.114988639,0.014513186
Tep1,-0.626782676,0.014573454
Rbms2,1.384657402,0.014579924
Plekho1,-1.433272573,0.014615865
Zfp655,-0.827993429,0.014620214
Fasn,1.018861609,0.014665146
Cntln,0.473241945,0.014780962
Cdk16,-2.472174447,0.014785736
Nme3,-0.39978024,0.014794822
Pcca,0.973384144,0.014809989
Cnga3,-1.1312122,0.014885912
Islr2,1.157792976,0.014891082
Tiam2,-0.417275971,0.014900433
Abcg2,1.049366077,0.014952464
Carmil1,-0.958263882,0.014979994
Ebf1,-1.19069062,0.014991434
Rxrb,-0.961117102,0.015046373
Alg12,-0.03976861,0.015053468
Tia1,-1.740922019,0.015077767
2310061I04Rik,-0.748847173,0.01528944
Anpep,-1.404350327,0.015294443
Acsm5,-0.996115202,0.015337448
Slc25a20,0.646192128,0.015373334
Sec61g,-1.86319849,0.015478034
Pafah1b1,0.831407704,0.015517304
Slc9a1,1.599474923,0.015628565
Acly,-1.01850139,0.015644063
Asb7,1.058615418,0.015659187
Mamstr,-2.384038191,0.015735624
Baz2b,-2.087356309,0.015739651
AB124611,2.296242667,0.01575882
Ube2m,0.736965594,0.015779776
Qrich1,-1.327710559,0.015824982
Igf1,-1.216131322,0.015854547
Tmem44,-0.78693971,0.015870424
Foxp3,0.602831001,0.015874258
Ghr,0.79041648,0.015886583
Fmnl1,0.807354922,0.01596741
Tango2,-0.609970484,0.015969876
Inafm2,1.853790921,0.016019462
Atl2,1.25649156,0.016022709
Rdh14,-1.408847644,0.016076092
Selenop,1.221526198,0.016100178
4930511M06Rik,-1.367698962,0.016118922
Icosl,-0.97751472,0.016186197
Trip4,-0.852560779,0.016193472
Xrcc4,2.664713784,0.016231131
Pirb,0.595058207,0.016278303
Cdc14a,-1.326764559,0.016386651
Arpp19,0.771175154,0.016396922
Rpl13a,-1.30271201,0.016424231
Mcl1,0.836588349,0.016439179
Cdpf1,-0.908798393,0.016449372
Stard3,-0.587283813,0.016521246
Fxyd2,0.639552852,0.016541213
Abcd4,-1.15899536,0.016543177
Acin1,-1.169842677,0.016563839
Dhdds,-1.476164554,0.016574698
Cops3,1.793994273,0.016587693
Zfp827,1.159005321,0.016656946
Cse1l,-1.981725111,0.01669159
Fut10,-1.463570569,0.016693882
Fbxo22,1.429322951,0.016758279
Nploc4,-1.099197845,0.016767657
Prr33,-2.429574262,0.016793319
Mrrf,0.990753483,0.016800262
Ifit3b,0.820248613,0.016836796
Erc1,-1.873108545,0.016838471
