Gene,logFC,p
Tmem116,-0.766286042,0.044273472
Ensa,0.252940617,0.044316352
Zfand3,1.146897192,0.044357248
Adh5,1.314603154,0.044362969
Pepd,-0.389851657,0.044364835
Neurl4,-1.144242477,0.044377301
Zc3h11a,1.68848094,0.044425591
Pgghg,0.669057103,0.044435005
Smarca2,1.144990498,0.044491383
mt-Atp8,-0.728430115,0.04449779
Atp5pb,1.853016486,0.044533009
Uchl3,-1.472117514,0.044579971
Ccl25,-0.057473782,0.044587703
Cuedc2,-0.152003093,0.044629239
Tnik,0.89741877,0.044658823
Nnt,-1.281064487,0.044699894
Sgta,0.382849643,0.044702081
Fam122b,1.275963992,0.044716872
Dlg3,-1.204052616,0.044717903
Flywch1,2.26853505,0.044815745
BC034090,-1.791619524,0.044863444
Utrn,0.294103283,0.044896806
Zfp707,-0.056752451,0.044902837
Mocs3,1.660444027,0.044934005
Slc25a3,-1.074000581,0.044988193
Fry,-0.659666624,0.045012299
Dock10,-0.48393258,0.045031434
Alkbh5,1.474296815,0.04504463
Sos2,1.161153074,0.045065835
L3mbtl2,-1.45910515,0.045093974
Med12,0.517202449,0.045099734
C1qtnf2,1.646622486,0.045167126
Fryl,0.598383016,0.045182577
Ndufs6,1.371212983,0.045206491
Rcn3,1.227364847,0.045219774
Pde4a,1.07664907,0.045260989
Itgb6,1.283003773,0.045325275
Arpp19,2.383862244,0.045326695
2310002L09Rik,-0.842199062,0.045363805
Ttyh2,0.929475346,0.045378669
Per1,-0.631329633,0.045383362
Gm47985,1.205148243,0.045394853
Birc5,0.530514717,0.045462927
Polr3c,-0.394103993,0.045467486
Acaa1a,-0.601497235,0.045478854
Dnaja4,-0.833356295,0.045481868
Fut11,-1.06834733,0.045508793
Uba7,0.882994135,0.045522791
Spag5,0.489768374,0.045540279
Ankrd13b,-0.570588552,0.045555984
Sh2d3c,1.007218214,0.045582269
Aldoa,-1.779575123,0.045585185
Pde4d,-1.452407231,0.04558534
Mfap1a,-0.68058435,0.045627139
Vps26b,1.267246125,0.045630902
Atp2a2,1.881839871,0.045662989
Slc1a2,2.977221133,0.04571844
Entr1,0.508086598,0.045766243
Gpank1,-1.204751648,0.045795369
Gm34678,-1.573680446,0.045818432
Cdk5rap2,-0.782943369,0.045911388
Gm49317,-0.730417527,0.045952704
Rnf207,0.768216528,0.045962655
Rabl6,-0.57032087,0.04597327
Plcg1,0.662667284,0.045978609
Cox14,0.937915683,0.045998476
Slc35e2,1.070526992,0.045999142
Poln,-0.563577329,0.046009514
Hspg2,-0.363957493,0.046057156
Phf21b,-0.516221026,0.04605833
Crebbp,-0.837784247,0.046080417
Erlec1,1.406294448,0.046088371
Mybpc3,-1.423062441,0.046094969
Cpxm1,-1.38777216,0.046168355
BC003965,-0.836989657,0.046194142
Mapk1,-0.747813454,0.046197041
Zfp768,0.653650347,0.046197832
Hebp2,-0.871536054,0.046215656
Pf4,0.528195324,0.046296202
Lrig2,0.969336079,0.046362416
Notch4,-2.727110705,0.046386411
Paxx,-0.509949146,0.046477053
Ints9,1.079553287,0.046490098
Nfya,-0.336584075,0.046547565
Chchd6,0.433126451,0.046580278
Memo1,-1.09210561,0.046595334
Hmga1,-1.001255447,0.046600378
Tsn,0.815096831,0.046627465
Zfp973,-0.642087112,0.046653828
Thyn1,1.24941107,0.04669107
Spryd7,-0.399657676,0.04669255
Zc3h15,0.405229932,0.046715202
Slc15a3,-1.313997618,0.046746154
Gm5141,-1.333583115,0.046854918
Irgm2,-0.624197664,0.046879354
Map7d1,-1.026687227,0.046882023
Klhdc10,-0.328912563,0.046983546
Tmcc3,1.73941672,0.047011003
Ap1ar,-1.005336991,0.047070892
Mxra8,0.820834434,0.047193537
Gtf2h2,0.358501079,0.047218066
Trp53inp2,1.19430581,0.047236738
Flna,1.432880195,0.047261398
Psmb3,-3.089077612,0.047317992
Zfp710,0.533947808,0.047420748
Prmt1,0.308122295,0.04743849
Prdm15,-0.012301218,0.047447723
Krit1,1.293185018,0.047457011
Fbxl18,0.890761042,0.047508019
Plekhg3,0.604631047,0.047534969
Telo2,-1.370189666,0.047557658
Kifap3,-0.972383314,0.047560591
Atxn2,0.64846247,0.047592784
Xpo4,-1.569100007,0.047598638
Fxyd2,0.313101792,0.047618725
Ttc14,-0.52405687,0.047620787
4833439L19Rik,1.967199768,0.047689302
Cp,1.27414169,0.047694693
Arhgap21,-2.688617958,0.047703291
Gpn2,-1.362710449,0.047714521
Timm21,-0.822496754,0.047724529
Mdh2,1.276080771,0.047777304
Ppp5c,0.395568679,0.047778776
Ndufb11,1.074718082,0.047788629
Exo1,-1.750985221,0.047791725
Rc3h2,-0.6174585,0.047849833
Tra2b,1.813717334,0.047881385
Crip2,0.143377055,0.047897113
Tmem209,1.094011476,0.047924597
Ndst2,0.454931846,0.047944979
Gm3470,-0.74773019,0.04795445
Arhgap17,1.031485455,0.047963184
Sel1l,-1.537768351,0.047968118
Eed,0.960726885,0.04799333
Zc3h7a,-0.286667904,0.048013943
Clstn2,-1.047346058,0.048025611
Snrnp70,0.783156796,0.048087661
Gm16008,-2.521498094,0.04811156
2810410L24Rik,0.65907582,0.048129955
Uap1,-1.151595471,0.048134242
Hnrnpll,1.442847311,0.048181008
Tox,-0.99712097,0.04819398
Atp2a3,0.327687364,0.048230372
4833420G17Rik,-0.636844955,0.048297908
Cd74,-0.591785335,0.048354954
Endou,-1.214622201,0.048398237
Tmem196,-1.489627832,0.0484321
Cap2,0.577766999,0.048527514
Lrpprc,1.138975613,0.048529528
Rbm42,0.597596392,0.048538012
Sgsh,0.854472949,0.04855208
Gm49336,0.726750624,0.048552769
Gbf1,-0.919580777,0.048640302
Gnao1,-1.177049436,0.048666757
Hspb6,1.679247067,0.048675944
Usp33,0.316312545,0.048688746
Vav1,0.912605342,0.048720864
mt-Co1,0.758120399,0.048759553
Tmem138,2.160786616,0.048780285
Dusp12,-1.114959234,0.048825815
Prc1,0.715361823,0.048851339
Atg9a,1.017259859,0.048907974
Pard6b,-0.967026971,0.04891947
Itgb3bp,-0.570955643,0.048929728
Sltm,-0.472100285,0.048933476
Pex6,1.47345432,0.048935256
Rbm5,-0.106769286,0.048957933
Rbm5,-0.733365967,0.048973473
Stard7,-1.121863397,0.049015211
Gm50069,-1.438153479,0.049085638
Kbtbd3,-0.430658559,0.049102531
Stab1,-1.37332599,0.049106691
Cdk2ap2,-0.985522069,0.049111991
Anapc4,0.971584904,0.049218663
Slc25a3,-1.684676552,0.049246564
Gm42670,0.837235427,0.049252581
Polm,0.348035758,0.049256165
Foxp1,-1.654596776,0.049267659
Mrps18a,-1.363709757,0.049306574
Pkig,-1.300159754,0.049312413
4931440P22Rik,-1.51168865,0.049375411
Qsox1,0.533034709,0.0494025
Gm17634,1.21074429,0.049470318
Actr8,-0.40287419,0.049474337
Hap1,0.820737134,0.049483065
Dctn6,0.832439616,0.049618016
Lrrc71,1.199534857,0.049629889
Rgs17,-1.204074712,0.049658313
Ccnh,0.289049436,0.04966587
Sacs,-0.510988341,0.04967091
Clptm1l,1.982483788,0.049694965
Rbm34,1.519073359,0.049784289
Gm6548,0.267787505,0.049823427
Borcs8,-1.21801929,0.049826247
Gm49797,-0.509431181,0.049834397
Tmem8b,1.02376688,0.049994594
